Timestamp,Temperature (C),Humidity (%),Device
2025-11-24 09:41:30,25.6,41.2,arduino_uno
2025-11-24 09:41:32,25.6,41.3,arduino_uno
2025-11-24 09:41:34,25.6,41.5,arduino_uno
2025-11-24 09:41:36,25.6,41.6,arduino_uno
2025-11-24 09:41:38,25.6,41.3,arduino_uno
2025-11-24 09:41:40,25.6,41.1,arduino_uno
2025-11-24 09:41:43,25.6,41.1,arduino_uno
2025-11-24 09:41:45,25.5,41.2,arduino_uno
2025-11-24 09:41:47,25.5,41.2,arduino_uno
2025-11-24 09:41:49,25.5,41.1,arduino_uno
2025-11-24 09:41:51,25.5,41.0,arduino_uno
2025-11-24 09:41:53,25.5,41.0,arduino_uno
2025-11-24 09:41:55,25.5,40.9,arduino_uno
2025-11-24 09:41:57,25.5,40.9,arduino_uno
2025-11-24 09:41:59,25.5,41.0,arduino_uno
2025-11-24 09:42:01,25.5,41.0,arduino_uno
2025-11-24 09:42:03,25.5,41.0,arduino_uno
2025-11-24 09:42:05,25.5,41.1,arduino_uno
2025-11-24 09:42:07,25.5,41.2,arduino_uno
2025-11-24 09:42:09,25.5,41.1,arduino_uno
2025-11-24 09:42:11,25.5,41.1,arduino_uno
2025-11-24 09:42:13,25.5,41.1,arduino_uno
2025-11-24 09:42:15,25.5,41.1,arduino_uno
2025-11-24 09:42:17,25.5,41.1,arduino_uno
2025-11-24 09:42:19,25.5,41.2,arduino_uno
2025-11-24 09:42:21,25.5,41.1,arduino_uno
2025-11-24 09:42:23,25.5,41.1,arduino_uno
2025-11-24 09:42:25,25.5,41.0,arduino_uno
2025-11-24 09:42:27,25.4,41.0,arduino_uno
2025-11-24 09:42:29,25.4,41.1,arduino_uno
2025-11-24 09:42:31,25.4,41.1,arduino_uno
2025-11-24 09:42:33,25.4,41.3,arduino_uno
2025-11-24 09:42:35,25.4,41.3,arduino_uno
2025-11-24 09:42:37,25.4,41.4,arduino_uno
2025-11-24 09:42:39,25.4,41.4,arduino_uno
2025-11-24 09:42:41,25.4,41.4,arduino_uno
2025-11-24 09:42:43,25.4,41.5,arduino_uno
2025-11-24 09:42:45,25.4,41.5,arduino_uno
2025-11-24 09:42:47,25.4,41.5,arduino_uno
2025-11-24 09:42:49,25.4,41.6,arduino_uno
2025-11-24 09:42:51,25.4,41.5,arduino_uno
2025-11-24 09:42:53,25.4,41.6,arduino_uno
2025-11-24 09:42:55,25.4,41.7,arduino_uno
2025-11-24 09:42:57,25.4,41.7,arduino_uno
2025-11-24 09:42:59,25.4,41.7,arduino_uno
